entry_id,name,entity_type,confidence,status,core_relevance_score,PI_or_leads,institution,city,region_state,country,latitude,longitude,map_layer,platform_tags,species,rydberg_role,experimental_mode,theory_mode,website,source_url_1,notes
E-001,Lukin Group atom-array program,academic,A,verified,5,Mikhail D. Lukin,Harvard University,Cambridge,MA,United States,42.3736,-71.1097,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; quantum_simulation; qec; gates; theory,Rb,gates; analog_simulation; qec; blockade,mixed,mixed,https://lukin.physics.harvard.edu/arrays-cold-atoms,https://lukin.physics.harvard.edu/arrays-cold-atoms,Core benchmark group: official page explicitly states Rb-87 atoms in optical tweezers and Rydberg excitation.
E-002,Quantum Optics - Atoms team,academic,A,verified,5,Antoine Browaeys; Thierry Lahaye,Institut d'Optique Graduate School / Laboratoire Charles Fabry,Palaiseau,Île-de-France,France,48.713,2.207,Core A,rydberg_array; optical_tweezers; quantum_simulation; neutral_atom_qc; gates,Rb,analog_simulation; gates; blockade; dressing,mixed,mixed,https://atom-tweezers-io.org/,https://atom-tweezers-io.org/,Core French/Palaiseau node; strong link to PASQAL origins and continuing Rydberg-tweezer research.
E-003,Thompson Lab,academic,A,verified,5,Jeff D. Thompson,Princeton University,Princeton,NJ,United States,40.3431,-74.6551,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; gates; alkaline_earth; circular_rydberg,Yb,gates; blockade; circular_rydberg; architecture,experimental,mixed,https://sites.google.com/site/thompsonlabq/home,https://sites.google.com/site/thompsonlabq/home,Core alkaline-earth/Yb tweezer-Rydberg group; circular Rydberg line is especially relevant for long-lived qubits.
E-004,Endres Lab,academic,A,verified,5,Manuel Endres,California Institute of Technology,Pasadena,CA,United States,34.1377,-118.1253,Core A,rydberg_array; optical_tweezers; quantum_simulation; neutral_atom_qc; alkaline_earth; qec,Sr; Rb,gates; analog_simulation; qec; blockade,mixed,mixed,https://www.endreslab.com/,https://www.endreslab.com/,Core Caltech neutral-atom tweezer group; needs subclassification because not every large-array result is Rydberg-gate specific.
E-005,Saffman neutral-atom/Rydberg program,academic,B,needs_review,4,Mark Saffman,University of Wisconsin-Madison,Madison,WI,United States,43.0731,-89.4012,Relevant B,rydberg_array; neutral_atom_qc; gates; blockade; optical_tweezers,Cs; Rb,gates; blockade; architecture,experimental,mixed,https://www.physics.wisc.edu/,https://arxiv.org/abs/1908.06103,Historically central and technically relevant; official current group page still needs better source capture.
E-006,Quantum Matter Interfaces group,academic,A,verified,5,Johannes Zeiher,Max Planck Institute of Quantum Optics / LMU Munich,Garching / Munich,Bavaria,Germany,48.2642,11.6715,Core A,rydberg_array; optical_tweezers; quantum_simulation; cavities; interfaces; qec,Rb; unknown,dressing; analog_simulation; interfaces; qec; blockade,experimental,mixed,https://www.zeiher-lab.de/,https://www.mpq.mpg.de/6707561/zeiher,Official MPQ page explicitly says the group combines atomic Rydberg arrays in optical tweezers with optical resonators.
E-007,Ryd-Yb tweezer array platform,academic,A,verified,5,Johannes Zeiher / Christian Gross / MPQ team,Max Planck Institute of Quantum Optics,Garching,Bavaria,Germany,48.2642,11.6715,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; alkaline_earth; qec,Yb,gates; blockade; architecture,experimental,mixed,https://www.mpq.mpg.de/6859879/ryd-yb-tweezer-array,https://www.mpq.mpg.de/6859879/ryd-yb-tweezer-array,New platform; source explicitly mentions neutral Yb atoms in optical tweezers with interactions induced via highly excited Rydberg states.
E-008,Strontium Rydberg Lab,academic,B,verified,4,Immanuel Bloch / Munich Quantum Optics group,LMU Munich / MPQ,Munich,Bavaria,Germany,48.15,11.58,Relevant B,rydberg_array; optical_tweezers; optical_lattice; quantum_simulation; alkaline_earth,Sr,analog_simulation; dressing; blockade,experimental,mixed,https://www.quantum-munich.de/238106/Strontium-Rydberg-lab,https://www.quantum-munich.de/238106/Strontium-Rydberg-lab,"Relevant but mixed lattice/tweezer emphasis, so not pure tweezer-array core."
E-009,Sr Rydberg tweezers platform,academic,A,verified,5,Quantum Gases Group / LENS team,LENS / University of Florence,Florence,Tuscany,Italy,43.7696,11.2558,Core A,rydberg_array; optical_tweezers; quantum_simulation; neutral_atom_qc; alkaline_earth,Sr,gates; analog_simulation; blockade,experimental,mixed,https://quantumgases.lens.unifi.it/exp/sr-rydberg/174-sr-atoms,https://quantumgases.lens.unifi.it/exp/sr-rydberg/174-sr-atoms,Official page explicitly states Rydberg atoms in optical tweezers and programmable optically trapped neutral atoms.
E-010,KAT-1 / Eindhoven Rydberg atom quantum computing and simulation,academic,A,verified,5,S. J. J. M. F. Kokkelmans / Eindhoven team,Eindhoven University of Technology,Eindhoven,North Brabant,Netherlands,51.4416,5.4697,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; quantum_simulation; alkaline_earth,Sr,gates; analog_simulation; blockade; theory,mixed,mixed,https://www.tue.nl/en/research/research-groups/center-for-quantum-materials-and-technology-eindhoven/projects/rydberg-atom-quantum-computing-and-simulation,https://www.tue.nl/en/research/research-groups/center-for-quantum-materials-and-technology-eindhoven/projects/rydberg-atom-quantum-computing-and-simulation,Strong A entry: official project states optical tweezers plus Rydberg interactions; includes theory on recapture/anti-trapping.
